question_number,, Estudo do texto: as sequências discursivas e os gêneros textuais no sistema de comunicação e informação, Estudo dos gêneros digitais: tecnologia da comunicação e informação: impacto e função social,Desconstrução da noção do skate como modalidade masculina,Estudo das práticas corporais,Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade,Estudo do texto argumentativo,Estudo do texto artístico,Estudo do texto literário,Estudo do texto literário: relações entre produção literária e processo social,Estudo do texto: as sequências discursivas e os gêneros textuais no sistema de comunicação e informação,Estudo dos aspectos linguísticos da língua portuguesa,Estudo dos aspectos linguísticos da língua portuguesa: usos da língua: norma culta e variação linguística,Estudo dos aspectos linguísticos em diferentes textos,Estudo dos gêneros digitais,Estudo dos gêneros digitais: tecnologia da comunicação e informação,Estudo dos gêneros digitais: tecnologia da comunicação e informação: impacto e função social,Impacto e função social,Inclusão de pessoas com deficiência,Inserção das mulheres na modalidade skate street,Produção e recepção de textos artísticos,Tecnologia da comunicação e informação,Tecnologia da comunicação e informação: impacto e função social,Topic4Estudo dos aspectos linguísticos da língua portuguesa,Topic4Estudo dos gêneros digitais: tecnologia da comunicação e informação: impacto e função social,Topic4Produção e recepção de textos artísticos: interpretação e representação do mundo para o fortalecimento dos processos de identidade e cidadania,concepções artísticas,gêneros e usos em língua portuguesa,procedimentos de construção e recepção de textos,seus gêneros e recursos linguísticos,seus gêneros e recursos linguísticos: argumentação: tipo
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
