question_number,, Compostos de Carbono, Dinâmica das Transformações Químicas, Energia, Energias Químicas no Cotidiano, Fenômenos Elétricos e Magnéticos, Hereditariedade e diversidade da vida, Identidade dos seres vivos, Mecânica e o funcionamento do Universo, O calor e os fenômenos térmicos, Origem e evolução da vida, Oscilações, Qualidade de vida das populações humanas, Relações da Química com as Tecnologias, Transformação Química e Equilíbrio, Transformações Químicas,A Mecânica e o funcionamento do Universo,Atrazina,Biodiversity,Biologia,Calor e Fenômenos Térmicos,Compostos de Carbono,Concentração de hormônios,Conhecimentos básicos e fundamentais de física,Contaminação ambiental,Controle de hormônios,Desenvolvimento anômalo,Dinâmica das Transformações Químicas,Ecologia e ciências ambientais,Ecology and Environmental Sciences,Efeitos em fêmeas,Efeitos em machos,Efeitos na reprodução,Efeitos na saúde de animais,Energia,Energias Químicas no Cotidiano,Estudo científico,Exposição a agrotóxicos,Fenômenos Elétricos e Magnéticos,Física,Herbicidas,Hereditariedade e diversidade da vida,Hormônio específico,Hormônios sexuais,Identidade dos seres vivos,Materiais,Materiais e suas propriedades,Mecânica,Mecânica e o funcionamento do Universo,Meio Ambiente,Moléculas,Movimento,Mudanças Climáticas,Nanotecnologia,O calor e os fenômenos térmicos,O movimento,Ondas,Origem e evolução da vida,Oscilações,Ozônio,Poluição Ambiental,Qualidade de vida das populações humanas,Qualidade de vida de animais,Química,Química Ambiental,Química e Meio Ambiente,Química orgânica,Relações da Química com as Tecnologias,Representação das transformações químicas,Saúde,Saúde e Medicina,Toxicidade,Transformação Química e Equilíbrio,Transformações Químicas,Transformações Químicas e Energia,Transformações químicas e energia,a Sociedade e o Meio Ambiente,células e tecidos,etcFenômenos Elétricos e Magnéticos,o equilíbrio e a descoberta de leis físicas,ondas,suas propriedades e usos,trabalho e potência,Água,óptica e radiação
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
