question_number,,Conhecimentos algébricos,Conhecimentos de estatística e probabilidade,Conhecimentos estatística e probabilidade,Conhecimentos estatísticos e probabilidade,Conhecimentos geométricos,Conhecimentos numéricos
136,0,0,1,0,0,0,0
137,0,1,0,0,0,1,0
138,1,1,0,0,0,0,1
139,0,0,0,0,0,1,1
140,0,0,1,0,0,0,1
141,0,1,0,0,0,1,1
142,0,1,0,0,1,0,0
143,0,0,0,0,0,1,0
144,0,0,1,0,0,0,1
145,0,1,0,0,0,1,0
146,0,0,0,0,0,1,0
147,0,1,0,0,0,1,0
148,0,0,1,0,0,1,0
149,0,0,1,0,0,0,1
150,0,1,0,0,0,0,1
151,0,0,1,0,0,1,1
152,0,1,0,0,0,1,1
153,0,1,1,0,0,0,1
154,0,1,1,0,0,0,0
155,0,1,0,0,0,1,0
156,0,0,0,0,0,1,1
157,1,1,0,0,0,0,1
158,0,1,1,0,0,0,0
159,0,1,0,0,0,1,0
160,0,0,1,0,0,0,1
161,0,1,0,0,0,1,1
162,0,0,1,0,0,0,1
163,0,0,0,0,0,1,1
164,1,0,1,0,0,0,1
165,0,0,0,0,0,1,0
166,0,1,1,0,0,1,0
167,0,0,1,0,0,0,0
168,0,0,0,0,0,1,0
169,0,0,1,0,0,0,1
170,0,1,0,0,0,1,1
171,0,1,1,0,0,0,0
172,0,0,0,0,0,1,1
173,0,0,0,0,0,1,1
174,0,1,0,0,0,0,1
175,0,0,0,0,0,1,1
176,0,0,1,0,0,1,1
177,0,0,1,0,0,0,1
178,0,1,0,0,0,1,0
179,0,0,1,0,0,0,0
180,0,0,0,1,0,0,0
