question_number,statement,option_1,option_2,option_3,option_4
91,"O protozoário Trypanosoma cruzi, causador da doença de Chagas, pode ser a nova arma da medicina contra o câncer. Pesquisadores brasileiros conseguiram criar uma vacina contra a doença usando uma variação do protozoário incapaz de desencadear a patologia (não patogênico). Para isso, realizaram uma modificação genética criando um T. cruzi capaz de produzir também moléculas fabricadas pelas células tumorais. Quando o organismo inicia o combate ao protozoário, entra em contato também com a molécula tumoral, que passa a ser vista também pelo sistema imune como um indicador de células do protozoário. Depois de induzidas as defesas, estas passam a destruir todas as células com a molécula tumoral, como se lutassem apenas contra o protozoário.
Qual o mecanismo utilizado no experimento para enganar as células de defesa, fazendo com que ataquem o tumor?",Autoimunidade.,Hipersensibilidade.,Ativação da resposta inata.,Apresentação de antígeno específico.
92,"O sinal sonoro oriundo da queda de um grande bloco de gelo de uma geleira é detectado por dois dispositivos situados em um barco, sendo que o detector A está imerso em água e o B, na proa da embarcação. Sabe-se que a velocidade do som na água é de 1 540 metros por segundo e no ar é de 340 metros por segundo.
[[placeholder]]
Os gráficos indicam, em tempo real, o sinal sonoro detectado pelos dois dispositivos, os quais foram ligados simultaneamente em um instante anterior à queda do bloco de gelo. Ao comparar pontos correspondentes desse sinal em cada dispositivo, é possível obter informações sobre a onda sonora.

[[placeholder]]
A distância L, em metro, entre o barco e a geleira é mais próxima de",339 000.,78 900.,14 400.,5 240.
93,"## Brasileiro inventor de ""luz engarrafada"" tem ideia espalhada pelo mundo
Em 2002, um mecânico da cidade mineira de Uberaba (MG) teve uma ideia para economizar o consumo de energia elétrica e iluminar a própria casa num dia de sol. Para isso, ele utilizou garrafas plásticas PET com água e cloro, conforme ilustram as figuras. Cada garrafa foi fixada ao telhado de sua casa em um buraco com diâmetro igual ao da garrafa, muito maior que o comprimento de onda da luz. Nos últimos dois anos, sua ideia já alcançou diversas partes do mundo e deve atingir a marca de 1 milhão de casas utilizando a ""luz engarrafada"".
[[placeholder]]
Que fenômeno óptico explica o funcionamento da ""luz engarrafada""?",Difração.,Absorção.,Polarização.,Reflexão.
94,"## Química orgânica
De modo geral, a palavra ""aromático"" invoca associações agradáveis, como cheiro de café fresco ou de um pão doce de canela. Associações similares ocorriam no passado da história da química orgânica, quando os compostos ditos ""aromáticos"" apresentavam um odor agradável e foram isolados de óleos naturais. À medida que as estruturas desses compostos eram elucidadas, foi se descobrindo que vários deles continham uma unidade estrutural específica. Os compostos aromáticos que continham essa unidade estrutural tornaram-se parte de uma grande família, muito mais com base em suas estruturas eletrônicas do que nos seus cheiros, como as substâncias a seguir, encontradas em óleos vegetais.
[[placeholder]]
A característica estrutural dessa família de compostos é a presença de",ramificações.,insaturações.,anel benzênico.,átomos de oxigênio.
95,"## Estudo confirma eficácia do Método Wolbachia para dengue
Os resultados de um ensaio clínico randomizado na Indonésia apontaram uma redução de 77 por cento dos casos de dengue nas áreas que receberam o mosquito Aedes aegypti infectado com a bactéria Wolbachia. Trata-se da mesma técnica utilizada no Brasil pelo Método Wolbachia, iniciativa conduzida pela Fundação Oswaldo Cruz — Fiocruz. Essa bactéria induz a redução da carga viral no mosquito e, consequentemente, o número de casos de dengue na área, sendo repassada por meio do cruzamento entre os insetos. Como essa bactéria é um organismo intracelular e o vírus também precisa entrar nas células para se reproduzir, ambos necessitarão de recursos comuns.
Essa tecnologia utilizada no combate à dengue consiste na",predação do vírus pela bactéria.,esterilização de mosquitos infectados.,alteração no genótipo do mosquito pela bactéria.,competição do vírus e da bactéria no hospedeiro.
96,"A água bruta coletada de mananciais apresenta alto índice de sólidos suspensos, o que a deixa com um aspecto turvo. Para se obter uma água límpida e potável, ela deve passar por um processo de purificação numa estação de tratamento de água. Nesse processo, as principais etapas são, nesta ordem: coagulação, decantação, filtração, desinfecção e fluoretação. Qual é a etapa de retirada de grande parte desses sólidos?",Coagulação.,Decantação.,Filtração.,Desinfecção.
97,"## Vida: a ciência da biologia
Os ursos, por não apresentarem uma hibernação verdadeira, acordam por causa da presença de termogenina, uma proteína mitocondrial que impede a chegada dos prótons até a ATP sintetase, gerando calor. Esse calor é importante para aquecer o organismo, permitindo seu despertar.
Em qual etapa do metabolismo energético celular a termogenina interfere?",Glicólise.,Fermentação lática.,Ciclo do ácido cítrico.,Oxidação do piruvato.
98,"A fim de classificar as melhores rotas em um aplicativo de trânsito, um pesquisador propõe um modelo com base em circuitos elétricos. Nesse modelo, a corrente representa o número de carros que passam por um ponto da pista no intervalo de 1 segundo. A diferença de potencial (d.d.p.) corresponde à quantidade de energia por carro necessária para o deslocamento de 1 metro. De forma análoga à lei de Ohm, cada via é classificada pela sua resistência, sendo a de maior resistência a mais congestionada. O aplicativo mostra as rotas em ordem crescente, ou seja, da rota de menor para a de maior resistência.
Como teste para o sistema, são utilizadas três possíveis vias para uma viagem de A até B, com os valores de d.d.p. e corrente conforme a tabela.
|   Rota  |   d.d.p. (J/carro.m)  |  Corrente (carro/s)  |
|--------:|----------------------:|---------------------:|
|      1  |          510          |          4           |
|      2  |          608          |          4           |
|      3  |          575          |          3           |

Nesse teste, a ordenação das rotas indicadas pelo aplicativo será:","1, 2, 3.","1, 3, 2.","2, 1, 3.","3, 1, 2."
99,"O esquema representa o ciclo do nitrogênio:
[[placeholder]]
A chuva ácida interfere no ciclo do nitrogênio, principalmente, por proporcionar uma diminuição do pH do solo e da atmosfera, alterando a concentração dos compostos presentes nesse ciclo.
Em um solo de menor pH, será favorecida a formação de:",N2,NH3,NH4 de carga positiva,NO2 de carga negativa
100,"No processo de captação da luz pelo olho para a formação de imagens estão envolvidas duas estruturas celulares: os cones e os bastonetes. Os cones são sensíveis à energia dos fótons, e os bastonetes, à quantidade de fótons incidentes. A energia dos fótons que compõem os raios luminosos está associada à sua frequência, e a intensidade, ao número de fótons incidentes.
Um animal que tem bastonetes mais sensíveis irá",apresentar daltonismo.,perceber cores fora do espectro do visível.,enxergar bem em ambientes mal iluminados.,necessitar de mais luminosidade para enxergar.
101,"## Técnica modifica proteína do veneno de cascavel e permite criar fármaco que modula a coagulação sanguínea
O veneno da cascavel pode causar hemorragia com risco de morte a quem é picado pela serpente. No entanto, pesquisadores do Brasil e da Bélgica desenvolveram uma molécula de interesse farmacêutico, a PEG-collineína-1, a partir de uma proteína encontrada no veneno dessa cobra, capaz de modular a coagulação sanguínea. Embora a técnica não seja nova, foi a primeira vez que o método foi usado a partir de uma toxina animal na sua forma recombinante, ou seja, produzida em laboratório por um fungo geneticamente modificado.
Esse novo medicamento apresenta potencial aplicação para","impedir a formação de trombos, típicos em alguns casos de acidente vascular cerebral.","tratar consequências da anemia profunda, em razão da perda de grande volume de sangue.","evitar a manifestação de urticárias, comumente relacionadas a processos alérgicos.","reduzir o inchaço dos linfonodos, parte da resposta imunitária de diferentes infecções."
102,"## On the Gravitational Field of a Mass Point According to Einstein’s Theory
Um Buraco Negro é um corpo celeste que possui uma grande quantidade de matéria concentrada em uma pequena região do espaço, de modo que sua força gravitacional é tão grande que qualquer partícula fica aprisionada em sua superfície, inclusive a luz. O raio dessa região caracteriza uma superfície-limite, chamada de horizonte de eventos, da qual nada consegue escapar. Considere que o Sol foi instantaneamente substituído por um Buraco Negro com a mesma massa solar, de modo que o seu horizonte de eventos seja de aproximadamente 3,0 quilômetros.
Após a substituição descrita, o que aconteceria aos planetas do Sistema Solar?","Eles se moveriam em órbitas espirais, aproximando-se sucessivamente do Buraco Negro.",Eles oscilariam aleatoriamente em torno de suas órbitas elípticas originais.,Eles se moveriam em direção ao centro do Buraco Negro.,Eles passariam a precessionar mais rapidamente.
103,"Aplicações e implicações do ozônio na indústria, ambiente e saúde
Durante o ano de 2020, impulsionado pela necessidade de respostas rápidas e eficientes para desinfectar ambientes de possíveis contaminações com o SARS-CoV-2, causador da covid-19, diversas alternativas foram buscadas para os procedimentos de descontaminação de materiais e ambientes. Entre elas, o uso de ozônio em meio aquoso como agente sanitizante para pulverização em humanos e equipamentos de proteção em câmaras ou túneis, higienização de automóveis e de ambientes fechados e descontaminação de trajes. No entanto, pouca atenção foi dada à toxicidade do ozônio, à formação de subprodutos, ao nível de concentração segura e às precauções necessárias.
O grande risco envolvido no emprego indiscriminado dessa substância deve-se à sua ação química como",catalisador.,oxidante.,redutor.,ácido.
104,"Na figura está representado o mosaicismo em função da inativação aleatória de um dos cromossomos X, que ocorre em todas as mulheres sem alterações patológicas.
[[placeholder]]
Entre mulheres heterozigotas para doenças determinadas por genes recessivos ligados ao sexo, essa inativação tem como consequência a ocorrência de",pleiotropia.,mutação gênica.,interação gênica.,penetrância incompleta.
105,"Uma lanterna funciona com três pilhas de resistência interna igual a 0,5 ohm cada, ligadas em série. Quando posicionadas corretamente, devem acender a lâmpada incandescente de especificações 4,5 watts e 4,5 volts. Cada pilha na posição correta gera uma f.e.m. (força eletromotriz) de 1,5 volt. Uma pessoa, ao trocar as pilhas da lanterna, comete o equívoco de inverter a posição de uma das pilhas. Considere que as pilhas mantêm contato independentemente da posição.
Com esse equívoco, qual é a intensidade de corrente que passa pela lâmpada ao se ligar a lanterna?","0,25 ampère","0,33 ampère","0,75 ampère","1,00 ampère"
106,"Em uma aula prática de bioquímica, para medir a atividade catalítica da enzima catalase, foram realizados seis ensaios independentes, nas mesmas condições, variando-se apenas a temperatura. A catalase decompõe o peróxido de hidrogênio (H2O2), produzindo água e oxigênio. Os resultados dos ensaios estão apresentados no quadro.
|   Ensaio  |   Temperatura (°C)  | Resultado                                    |
|----------:|--------------------:|:---------------------------------------------|
|       nan |                 nan | Decomposição de H2O2 (10^⁻12 mol/min) |
|         1 |                  10 | 8,0                                          |
|         2 |                  15 | 10,5                                         |
|         3 |                  20 | 9,5                                          |
|         4 |                  25 | 5,0                                          |
|         5 |                  30 | 3,6                                          |
|         6 |                  35 | 3,1                                          |
Os diferentes resultados dos ensaios justificam-se pelo(a)",variação do pH do meio.,aumento da energia de ativação.,consumo da enzima durante o ensaio.,diminuição da concentração do substrato.
107,"Antimicrobianos são substâncias naturais ou sintéticas que têm capacidade de matar ou inibir o crescimento de microrganismos. A tabela apresenta uma lista de antimicrobianos hipotéticos, bem como suas ações e efeitos sobre o metabolismo microbiano.
|   Antimicrobiano  | Ação                            | Efeito                                        |
|------------------:|:--------------------------------|:----------------------------------------------|
|                1  | Une-se aos ribossomos                                 | Impede a síntese proteica                     |
|                2  | Une-se aos microtúbulos                                 | Impede a segregação das cromátides                                               |
|                3  | Une-se aos fosfolipídeos da membrana plasmática                                 | Reduz a permeabilidade da membrana plasmática |
|                4  | Interfere na síntese de timina  | Inibe a síntese de DNA                        |
|                5  | Interfere na síntese de uracila | Impede a síntese de RNA                       |

Qual dos antimicrobianos deve ser utilizado para curar uma infecção causada por um fungo sem afetar as bactérias da microbiota normal do organismo?",1,2,3,4
