NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2022,1,M,1,3,1,3,0,1,,1,,,,,,,,1501402,BelÃ©m,15,PA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,548.8,558.4,553.1,620.7,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,200.0,140.0,140.0,160.0,760.0,B,G,D,D,5,G,A,B,C,B,A,B,B,B,A,A,A,A,B,A,A,D,A,B,B
2022,14,F,1,4,1,1,0,1,,0,,,,,,,,2507507,JoÃ£o Pessoa,25,PB,1,1,1,1,1087.0,1057.0,1068.0,1078.0,532.5,629.1,553.9,620.9,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,100.0,120.0,120.0,580.0,D,D,B,A,4,C,A,D,D,A,A,B,A,B,A,B,A,B,B,A,A,E,A,B,B
2022,12,F,2,2,1,1,16,1,,0,,,,,,,,2914802,Itabuna,29,BA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,424.9,423.6,462.3,429.0,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,180.0,140.0,140.0,120.0,720.0,A,A,F,B,2,B,A,C,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,A
2022,4,F,1,1,1,1,3,1,,0,,,,,,,,2805604,Porto da Folha,28,SE,1,1,1,1,1087.0,1057.0,1068.0,1078.0,425.1,589.6,560.9,592.7,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,160.0,160.0,160.0,160.0,180.0,820.0,B,G,A,B,4,D,A,B,D,A,B,B,A,A,A,A,A,A,B,A,A,C,A,B,B
2022,4,F,3,3,1,2,0,2,1.0,0,,,,,,,,2930105,Senhor do Bonfim,29,BA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,443.1,347.8,397.3,378.3,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,40.0,100.0,80.0,80.0,100.0,400.0,B,B,A,A,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,B
2022,3,M,1,3,1,1,1,1,,0,,,,,,,,2201903,Bom Jesus,22,PI,1,1,1,1,1087.0,1057.0,1068.0,1078.0,414.0,508.2,467.6,452.0,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,100.0,100.0,80.0,80.0,60.0,420.0,E,E,D,B,5,C,A,B,D,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,B
2022,12,F,3,3,1,1,2,1,,0,,,,,,,,5300108,BrasÃ­lia,53,DF,1,1,1,1,1087.0,1057.0,1068.0,1078.0,453.8,522.1,448.3,531.6,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,80.0,120.0,80.0,80.0,120.0,480.0,B,A,B,B,4,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
2022,4,F,1,1,1,1,1,1,,0,,,,,,,,3518800,Guarulhos,35,SP,1,1,1,1,1087.0,1057.0,1068.0,1078.0,431.6,602.2,575.8,597.2,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,160.0,140.0,160.0,140.0,740.0,E,E,B,B,4,E,A,B,B,A,A,B,B,B,A,A,A,A,B,B,A,E,A,B,B
2022,5,F,1,1,1,1,1,1,,0,,,,,,,,3201506,Colatina,32,ES,1,1,1,1,1087.0,1057.0,1068.0,1078.0,517.7,569.6,648.3,485.6,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,180.0,120.0,120.0,140.0,680.0,E,F,C,C,4,D,A,C,D,A,A,B,B,B,A,B,A,A,B,A,A,D,A,B,B
2022,11,F,1,3,1,4,0,1,,0,,,,,,,,2306405,Itapipoca,23,CE,1,1,1,1,1087.0,1057.0,1068.0,1078.0,490.1,460.6,443.6,389.8,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,80.0,40.0,40.0,100.0,40.0,300.0,B,B,A,A,4,B,A,C,E,A,A,B,B,A,A,A,A,A,B,B,A,B,A,A,B
2022,9,M,1,1,1,1,7,1,,0,,,,,,,,1500800,Ananindeua,15,PA,1,1,1,1,1087.0,1057.0,1068.0,1078.0,546.3,541.2,505.1,623.6,1,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,100.0,120.0,100.0,560.0,B,E,A,A,1,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
2022,1,F,1,1,1,3,0,1,,1,,,,,,,,2510808,Patos,25,PB,1,1,1,1,1087.0,1057.0,1068.0,1078.0,562.8,562.9,539.7,634.3,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,80.0,120.0,120.0,120.0,120.0,560.0,G,G,E,E,4,I,D,E,E,B,A,B,C,B,A,B,A,B,E,B,B,E,A,E,B
