question_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
210054533423,B,E,E,C,D,C,C,D,D,B,C,C,A,E,C,B,B,E,E,A,E,C,D,B,B,E,C,A,B,E,D,B,A,E,D,E,A,D,B,A,A,D,A,A,A
210056317609,A,A,D,C,E,C,B,B,D,A,C,C,B,B,C,B,B,B,D,B,E,E,D,A,D,A,C,A,E,C,A,B,E,C,C,B,C,D,B,A,D,D,B,A,A
210054598238,B,A,E,A,E,C,C,C,D,E,C,A,E,A,C,D,A,E,B,E,B,C,B,A,A,D,D,A,E,A,E,A,E,C,D,E,A,D,E,E,D,C,E,E,A
210055137073,A,A,D,A,E,C,C,B,D,A,C,C,A,A,C,B,A,A,B,A,B,E,E,D,B,C,D,A,E,A,B,B,D,E,D,A,D,D,D,D,B,D,E,A,D
210055316154,D,B,C,A,E,C,B,D,C,A,E,A,D,B,C,B,D,C,E,B,D,C,C,B,D,A,D,E,A,D,C,D,B,C,A,D,E,C,B,C,A,C,B,B,A
210056713292,A,A,C,C,E,C,C,C,D,A,B,B,A,C,D,B,C,E,A,D,B,B,E,C,C,C,D,A,C,C,B,B,D,A,C,D,E,D,C,A,A,D,B,B,A
210057593521,E,B,C,A,E,C,C,D,A,A,B,E,A,B,D,A,A,E,C,A,D,E,A,A,B,D,D,B,B,E,B,D,E,B,A,A,A,E,B,A,D,A,E,A,A
210057443393,B,C,E,C,D,C,C,D,D,B,C,A,D,A,C,B,A,A,E,A,C,E,D,A,B,A,E,A,E,C,E,B,A,D,D,A,D,D,B,D,C,D,E,C,E
210055453211,B,D,D,C,D,C,C,C,D,C,B,E,B,A,D,B,C,A,A,A,B,E,C,D,C,A,E,E,E,C,E,B,E,B,A,C,A,D,D,D,B,D,B,E,A
210057232874,B,A,C,E,E,C,C,D,E,E,E,B,C,E,A,E,E,C,C,A,B,E,E,A,E,A,C,A,B,E,A,D,B,C,A,A,A,E,E,A,D,A,C,A,E
210054494382,E,A,A,A,E,C,C,A,D,A,D,B,A,C,D,B,E,A,B,A,E,E,E,B,E,E,D,E,A,C,A,B,E,B,D,D,A,C,D,A,D,E,B,A,C
210055333262,B,D,D,D,B,C,C,E,D,B,C,B,A,A,C,B,A,B,A,A,A,E,B,A,D,A,C,A,B,A,E,B,A,C,C,E,C,D,B,C,B,D,A,A,E
210055891444,B,D,E,C,D,C,C,B,D,E,C,A,B,C,C,B,B,C,B,A,E,E,E,A,C,B,C,D,A,C,A,D,A,D,E,C,C,E,B,D,B,D,E,C,E
210055500054,B,D,E,C,D,C,C,C,D,E,C,A,B,B,C,B,B,B,B,A,E,E,C,A,B,A,E,E,E,E,E,D,E,E,D,C,E,D,B,C,B,D,B,A,A
210055600518,E,A,C,E,E,C,C,A,D,C,D,C,A,A,C,B,D,A,E,D,B,B,A,B,A,A,D,C,A,C,A,A,A,B,C,A,A,C,A,C,A,B,B,C,B
210056275805,A,C,C,C,E,B,C,B,D,B,C,.,D,E,D,C,B,C,D,A,B,C,D,C,B,C,D,E,C,*,E,D,A,B,A,A,D,E,B,D,A,C,B,A,D
210056742599,B,A,E,A,E,C,C,D,D,B,C,A,C,B,C,D,C,A,B,A,E,E,E,A,A,D,A,D,C,C,E,D,D,C,A,A,A,E,E,A,D,C,C,C,E
210054727203,E,A,E,C,E,C,C,A,D,B,A,E,B,C,D,A,D,D,E,A,D,E,A,B,D,B,C,A,C,E,A,B,E,A,D,E,A,E,E,B,E,C,D,C,B
210056287720,A,E,B,C,E,A,E,A,A,B,C,A,D,A,A,D,E,C,A,C,A,E,A,A,A,B,E,C,B,A,B,A,E,C,E,A,.,B,E,A,E,B,A,D,A
210054904162,D,A,C,B,D,A,C,E,D,D,C,A,D,B,E,E,A,A,C,A,E,B,B,A,A,B,B,C,A,B,A,B,C,D,C,B,C,B,B,A,D,C,B,C,B
210054749865,A,A,E,A,E,B,B,B,D,A,C,A,A,C,C,B,D,C,E,A,E,E,D,A,D,A,D,A,C,C,C,A,A,A,B,A,C,E,B,E,D,D,E,A,A
210057234270,B,D,E,C,D,C,C,A,D,C,E,A,B,B,C,B,B,D,B,A,E,E,A,A,D,A,A,A,C,E,E,E,A,E,B,E,A,D,B,D,B,D,E,A,D
210057302433,A,A,D,E,E,B,C,B,D,C,C,D,B,C,D,A,B,C,C,A,D,E,D,E,E,A,C,D,C,C,A,D,A,C,B,E,A,D,B,D,C,D,E,C,B
210057205407,A,C,E,A,A,B,C,A,D,E,B,A,D,B,B,B,B,B,E,A,E,E,D,A,B,A,E,B,A,B,C,E,A,E,A,D,D,C,B,D,D,D,E,E,A
210057406183,B,D,E,C,D,C,C,B,D,B,C,A,B,C,C,B,B,D,E,A,E,B,E,A,C,A,D,B,B,C,E,A,E,B,D,E,A,E,C,C,B,C,A,D,D
