NU_INSCRICAO,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT
210057791901,ACBAACBDAEEBDCEBDCECBADEDDECAADBAEEAACDDCBAEB,EDCBBBDEADACACECAEDDACBBACAEDECACDBEBACEDABDC,CEEABADBCADADAAEADBDECEABCAACDEAEDBACEDBDACBB,BEEAADCEBDCEDBADCBECDACEBBACDEECBBADEAEBDADCC
210057569888,EBDABECABCCCBCCEBADDACCBCBBBCDEBCBDDBDCEDDADB,CCACABDAEBADBBEDDBABEBABAAACAECDDAAEBECCBBDCC,DDBDEDBDACACDCEBCAABBAEBCCBACEAACDABBDADBECDE,BCDAEBCBECEECACCDEDDDCCBEECCBBEBEBCBEECDCDCCD
210055655282,,,,
210056281385,,,,
210057570494,,,,
210055317531,EDBEBEBBBCCAEDAACCEEABEBDADCADDEEAECAEEBCDCAA,BBECEEBCDBACDAEDAAAEBBDDEECBCBDECBBBBEDDAAEAB,BDECDCCCDCCABACBDBBAEECDBAEAECEBABADAEBDBDBAA,DBBBDBEACDBBDBAEEBECADECADAECECAABCBEDEEDBCBB
210056513416,ACBDABEEBCADBDEABEDACBECABCADBBCDDBCAEBDABDCE,DCABADBEACADBEEDACEBDACDABADBCECADBCEBADBBACE,DCBDDBCAABABBDEEBACBEABECCBDCDEAADBCAEBDCAEAD,EAACEAEBEDACDACDDBEADEBADBECBBABDBECABDCAACAB
210055439485,,,,
210056023252,,,,
210057285371,BBCBBABDDAAECAEBEAAADEECDAAABEBDCCECEACDEADBD,CEDAAADBDDCBCDDDACABCBBCAEEDADEABEDDECECBECCC,ACDEACEDBDEDBEDAABAEECEACBCDBDEBAACBBCADDCCCC,CECABDBEBCBCBBAEDEDBCEEDDBADBCDBDCECCBDAAEBCE
