student_id,TP_SEXO,TP_COR_RACA,IN_TREINEIRO,TP_ESCOLA
210054533423,M,3,1,1
210056317609,F,4,0,1
210054598238,F,2,0,1
210055137073,F,1,0,1
210055316154,F,3,0,2
210056713292,M,3,0,1
210057593521,F,3,0,1
210057443393,F,1,0,1
210055453211,F,1,0,1
210057232874,F,3,0,1
210054494382,M,1,0,1
210055333262,F,1,1,1
210055891444,F,1,1,1
210055500054,M,2,0,1
210055600518,F,1,0,1
210056275805,F,3,0,2
210056742599,M,3,1,1
210054727203,M,3,1,1
210056287720,M,2,0,2
210054904162,M,1,0,1
210054749865,F,1,0,1
210057234270,M,1,0,3
210057302433,F,1,0,1
210057205407,F,1,0,2
210057406183,M,1,1,1
210058014282,F,1,0,1
210055134439,M,3,0,3
210057220847,M,3,0,1
210057208899,M,3,0,2
210056365580,F,3,0,1
210055775796,F,1,0,1
210056720807,M,4,0,1
210057857304,F,3,0,1
210054578718,F,3,0,2
210056894240,F,4,0,1
210054569925,M,3,0,1
210055065513,M,1,1,1
210057325061,F,1,1,1
210056678210,M,2,0,2
210055874340,F,0,0,1
210056660256,F,1,0,3
210056783615,M,3,0,1
210057640493,M,1,0,1
210057974205,M,1,0,1
210054511141,F,0,0,1
210056001481,F,1,0,1
210056704764,F,1,1,1
210054689530,F,2,0,2
210057639547,F,2,0,1
210055191725,M,1,0,1
210057195742,M,1,0,1
210057794248,M,3,0,3
210056464839,F,3,0,2
210057379472,M,3,0,2
210056021461,M,3,0,1
210054599057,F,3,0,1
210057524660,F,3,1,1
210055803523,F,1,1,1
210056002472,M,1,0,3
210054994585,F,2,0,1
210055501093,M,1,0,3
210057912640,F,2,0,1
210057891765,M,3,0,1
210054754042,M,2,0,2
210056566761,M,3,0,1
210054601601,F,0,0,1
210056363951,M,3,0,3
210057723308,M,3,0,2
210055101025,M,1,0,2
210054669098,M,2,0,2
210057596830,M,3,0,1
210056805132,M,3,0,3
210054617670,F,3,0,2
210057614162,M,1,0,2
210054858575,F,3,0,3
210055861502,M,3,0,1
210057500497,F,3,0,1
210056933390,F,1,1,1
210056018821,M,1,1,1
210056687476,F,1,1,1
210056899093,F,1,0,3
210056563562,F,3,1,1
210054633944,F,3,0,1
210057242306,F,3,0,3
210055753995,F,1,0,2
210057041242,M,0,0,1
210054860412,F,1,0,1
210057742152,M,1,0,3
210056598121,M,3,0,3
210057687064,F,3,0,2
210057927090,M,3,0,2
210056942877,F,3,0,1
210056987643,M,1,1,1
210057610647,F,3,0,3
210057475754,M,3,0,2
210056201793,M,3,0,2
210054487288,F,3,0,1
210057804377,F,1,1,1
210056369980,M,1,0,1
210055797384,F,1,0,1
210055955971,M,1,0,2
210055809659,F,1,0,1
210054986072,F,1,1,1
210055079988,F,1,0,3
210054801369,F,1,0,2
210054578206,M,3,0,1
210057000151,F,3,0,2
210055989543,F,1,0,1
210057163325,M,2,0,1
210056258830,F,1,0,2
210054500881,F,3,0,1
210057467105,F,1,1,1
210054914482,M,2,0,1
210054513731,M,1,0,1
210056360802,F,1,0,1
210054954631,F,3,0,2
210054582592,F,2,0,1
210055461803,M,1,1,1
210056969327,M,1,0,1
210056412330,F,1,1,1
210057635176,M,3,0,2
210056369596,F,1,0,1
210056146492,F,1,0,1
210057127351,F,3,0,2
210056452021,F,3,1,1
210057910497,M,3,0,1
210056025971,M,1,0,1
210055637842,M,3,0,3
210055967564,F,3,0,1
210055763601,F,2,0,1
210057132268,M,3,1,1
210056654475,M,3,0,1
210056894838,M,1,0,2
210054959969,M,3,0,1
210054723560,M,3,0,1
210054574893,M,2,0,2
210054978702,F,3,0,2
210057049755,M,3,0,2
210057612088,M,3,0,1
210057463254,F,1,0,3
210056651289,F,3,0,1
210056224302,M,1,0,1
210055042460,M,3,0,3
210055244811,F,3,0,2
210056678077,F,1,0,2
210054585723,F,3,0,1
210056296739,M,3,0,2
210054560752,F,1,0,2
210056130763,F,3,0,1
210056359777,M,3,0,2
210056719908,F,3,0,2
210055328129,F,1,1,1
210055414597,F,1,0,1
210054733117,M,3,0,1
210057292430,M,1,0,2
210056598920,M,3,0,1
210055333471,F,1,0,2
210055080498,M,1,0,1
210055506495,M,1,0,3
210055291611,F,1,0,2
210057419996,F,1,0,1
210054958332,F,1,0,3
210057778807,F,3,0,2
210056333242,F,4,0,1
210056733461,M,1,0,2
210057174187,M,3,0,1
210056121330,M,3,0,1
210056136945,F,1,0,3
210054623807,F,1,0,1
210055289008,M,3,0,2
210056417248,M,3,0,2
210056488014,F,2,0,2
210056979764,F,2,0,1
210054901619,F,1,0,1
210054636125,F,3,0,1
210057839293,F,3,0,1
210056611949,F,1,0,1
210057328653,M,1,0,1
210057840155,M,2,0,1
210055086323,F,3,1,1
210057500288,F,3,0,1
210057966831,F,3,0,2
210057758696,M,1,1,1
210056478333,M,3,0,1
210057264304,F,3,0,2
210054514747,F,3,0,1
210057202103,M,4,0,1
210055421938,F,1,0,1
210054923314,F,3,0,1
210055285170,M,3,0,1
210054788571,F,1,0,3
210057426985,M,1,1,1
210057282528,M,1,0,3
210056737797,M,3,0,2
210057395988,M,3,0,2
210057421127,F,1,0,3
210055382412,F,3,0,3
210055532751,M,2,0,1
210057615546,F,1,0,1
210056990179,F,1,0,1
210057064901,F,1,0,1
210055245264,F,1,0,1
210056924303,F,3,0,2
210054526932,M,3,0,1
210055027221,M,2,0,1
210055242700,F,3,0,2
210057118925,M,3,1,1
210055892715,M,1,0,1
210057610373,M,1,0,2
210057804500,F,3,0,2
210055719275,M,1,0,2
210054765481,M,1,0,1
210054767915,F,3,0,2
210054672222,F,1,0,2
210057951537,F,1,0,1
210056824002,M,3,0,1
210055902879,F,3,0,1
210054930488,F,3,1,1
210057906266,M,1,0,3
210055091956,F,3,0,2
210054837526,F,3,0,1
210055135895,M,3,0,1
210055289662,F,1,0,2
210057061516,F,3,0,2
210054907448,M,3,0,1
210057777259,F,1,1,1
210056806166,M,1,0,3
210055813854,M,1,0,1
210057193312,F,3,0,1
210057695797,M,3,0,2
210057650841,M,1,0,1
210056893689,F,3,1,1
210057607423,M,3,0,3
210056330954,M,1,0,2
210055015021,M,3,0,1
210055067429,F,1,1,1
210057049325,F,1,0,1
210055881357,F,4,0,3
210055854240,F,2,0,1
210055106500,M,1,1,1
210057722220,M,1,0,3
210055539264,F,1,0,2
210057694006,M,1,0,2
210056445282,F,1,1,1
210056692042,M,2,0,2
210055921088,F,1,0,1
210057474680,F,3,0,1
210057660959,F,1,0,2
210057335033,M,3,0,1
210055107865,F,3,0,2
210054483301,F,1,0,2
210055205103,F,3,1,1
210057212033,M,0,0,1
210057596190,F,1,0,3
210057838782,M,1,0,1
210055968319,M,1,0,2
210055901587,F,1,0,2
210055284174,M,2,0,1
210054531925,F,1,0,2
210057473016,M,3,0,1
210057807601,F,2,0,1
210054684009,M,3,0,1
210054589357,M,2,0,1
210057942192,F,1,0,3
210057065043,F,3,0,1
210055431194,M,1,0,3
210054894211,F,3,0,2
210056637059,M,3,0,2
210057252704,F,3,0,1
210055307382,M,1,0,2
210055956745,F,1,1,1
210056743304,F,0,0,2
210057593703,F,1,0,1
210056915292,F,1,0,1
210054479626,M,3,1,1
210057639443,M,1,0,2
210056644502,F,3,0,3
210057219560,F,3,0,2
210055148301,F,3,0,2
210056487965,F,4,0,2
210056710835,F,3,1,1
210057766054,F,0,1,1
210055045951,F,3,0,1
210056325031,F,0,0,1
210055774011,M,3,1,1
210056195774,M,3,0,1
210057333010,M,1,1,1
