question_number,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
true_answers,D,D,E,C,D,B,E,A,C,C,A,E,B,E,A,E,B,B,C,C,D,D,C,B,D,D,A,C,B,E,A,C,E,A,B,C,E,A,B,E,D,A,D,B,A
210054533423,A,C,D,D,D,B,E,D,B,C,A,C,C,A,E,A,D,A,C,C,D,D,D,C,E,C,E,A,B,D,A,C,D,A,D,E,B,E,B,C,B,A,D,C,E
210056317609,D,B,E,D,C,B,A,A,E,C,A,C,D,B,D,C,B,A,C,A,A,C,E,C,D,E,A,D,A,E,B,D,C,B,C,C,A,C,E,C,C,C,B,C,B
210054598238,A,A,D,D,C,D,A,A,B,B,A,C,B,A,C,B,B,A,C,D,C,A,A,C,A,A,A,D,C,D,B,B,C,C,D,E,B,B,E,E,B,B,B,C,A
210055137073,C,C,D,A,C,B,B,C,C,D,C,A,B,B,B,B,C,D,E,C,C,C,D,B,D,E,A,*,B,A,C,E,D,E,C,B,B,C,D,A,B,D,B,A,B
210055316154,C,B,D,C,C,E,D,A,D,C,C,A,D,B,D,C,D,A,A,E,C,B,D,D,C,E,C,D,B,E,E,E,C,B,B,C,A,D,D,C,A,B,D,C,A
210056713292,C,B,A,D,D,C,D,C,B,C,C,E,B,D,D,D,B,A,D,D,A,D,A,A,E,E,B,B,E,D,B,C,A,A,A,B,A,B,C,E,C,D,B,C,E
210057593521,A,C,D,D,A,A,B,B,A,C,A,A,A,D,D,B,B,A,C,C,D,E,D,D,C,C,B,E,A,D,D,D,A,E,C,D,A,E,D,D,C,A,C,B,B
210057443393,C,C,A,C,A,B,E,D,A,D,B,C,A,C,A,C,B,C,C,D,D,A,A,D,B,E,B,A,D,D,E,A,E,C,B,C,A,A,D,B,B,E,E,E,E
210055453211,C,E,D,C,C,E,B,D,E,D,A,C,E,E,C,C,C,D,C,C,A,B,B,B,D,C,A,E,C,D,B,C,B,D,A,D,A,E,C,A,C,A,C,D,C
210057232874,A,B,E,B,C,B,D,A,D,C,D,C,D,C,D,D,A,C,E,C,D,A,E,C,C,E,D,E,B,D,B,B,B,A,B,B,A,E,E,A,B,A,B,C,B
210054494382,C,B,E,A,C,E,D,D,C,C,C,E,B,C,E,C,A,C,D,E,C,D,E,B,C,D,E,C,A,E,A,C,E,D,B,C,B,B,D,E,C,E,D,C,D
210055333262,C,B,E,C,C,A,B,A,C,C,A,C,D,D,E,A,A,B,B,A,C,D,D,E,E,D,A,E,D,D,B,C,B,A,B,E,A,E,C,A,B,E,D,E,B
210055891444,A,C,D,D,C,B,E,B,C,A,C,C,E,C,A,B,D,*,C,A,B,D,D,B,D,C,E,A,C,E,A,D,A,A,C,B,A,A,E,C,B,E,B,B,B
210055500054,C,B,A,C,D,C,E,C,C,C,E,C,C,E,C,E,E,B,C,C,E,B,E,E,E,D,E,E,D,E,E,D,E,D,D,B,A,E,D,E,D,B,D,B,C
210055600518,E,B,B,E,E,C,C,E,D,A,A,B,A,C,C,A,D,E,C,B,B,B,A,B,A,A,A,A,A,A,A,A,C,D,D,B,A,C,C,B,A,A,B,B,A
210056275805,A,C,A,A,C,C,C,D,D,C,E,B,A,B,C,B,C,B,C,C,D,D,E,B,C,C,D,A,A,D,B,B,D,E,D,E,D,C,E,A,E,E,C,C,E
210056742599,A,E,B,D,B,C,A,B,A,D,E,C,A,B,D,D,C,C,B,C,B,D,B,C,B,E,D,E,B,E,D,B,B,A,B,E,C,E,B,D,C,E,C,A,C
210054727203,D,C,D,A,C,C,B,B,E,B,E,A,B,D,B,B,E,A,C,E,A,D,E,C,E,E,A,C,C,E,D,B,C,E,B,D,E,C,C,C,D,E,A,B,A
210056287720,E,E,E,D,A,C,A,A,B,C,B,B,A,B,A,C,E,B,A,E,A,C,C,A,D,A,C,E,E,A,A,D,C,D,D,C,A,A,D,D,A,B,B,C,A
210054904162,B,C,C,D,B,D,A,D,C,E,C,A,C,B,C,A,C,A,A,C,E,C,E,D,E,A,A,E,A,B,E,A,A,C,D,E,A,A,E,D,A,B,A,E,C
210054749865,A,B,D,A,C,C,B,B,A,C,D,A,D,C,C,E,B,E,C,B,D,B,E,A,E,E,D,E,D,D,B,E,D,B,C,D,B,A,C,D,A,A,B,C,E
210057234270,C,B,C,C,E,C,B,D,C,B,A,A,A,D,E,B,C,E,C,C,A,D,B,B,C,D,A,E,A,E,D,C,D,A,B,E,A,A,B,C,E,E,B,E,A
210057302433,B,C,D,C,C,C,B,B,D,C,A,C,D,B,C,C,E,A,E,C,D,E,B,D,A,D,E,D,B,E,B,A,B,A,D,A,B,C,D,E,C,B,E,C,B
210057205407,A,E,B,C,A,A,B,B,C,E,E,C,D,B,D,B,C,E,C,E,C,D,E,B,E,D,D,A,A,E,A,E,B,A,D,A,A,E,B,D,A,D,C,B,C
210057406183,A,A,A,C,D,B,A,E,C,C,E,A,C,B,D,D,C,B,C,C,B,D,C,D,B,D,A,B,E,D,A,A,C,B,A,B,E,E,C,B,B,A,A,E,C
210058014282,E,E,E,C,C,C,A,D,D,A,A,A,A,C,C,B,E,B,E,C,B,D,D,A,D,D,A,E,B,E,E,B,B,E,A,D,C,B,A,A,C,E,C,B,B
210055134439,D,C,E,C,B,B,A,D,D,D,B,D,B,B,C,B,D,C,C,C,D,B,B,B,D,E,B,D,A,E,B,D,C,C,A,C,D,B,D,C,D,A,B,C,D
210057220847,D,C,E,C,D,C,E,A,A,C,A,A,B,E,A,E,B,B,C,C,C,A,C,B,D,D,A,C,B,E,E,C,E,A,B,C,C,A,B,E,D,A,D,B,A
210057208899,A,B,D,A,A,B,A,E,B,C,E,C,C,B,C,A,B,B,C,B,C,A,D,B,D,E,E,B,D,A,B,B,C,A,B,D,C,E,C,C,E,B,E,B,D
210056365580,D,C,D,E,A,C,E,B,C,C,A,C,B,B,D,E,B,B,C,B,D,A,C,D,E,D,B,D,A,D,C,A,B,A,B,E,A,C,A,C,C,D,E,A,A
210055775796,C,B,A,C,C,B,A,D,E,B,A,A,E,C,B,E,C,C,E,C,D,E,C,D,C,D,E,A,D,E,A,B,B,C,C,E,C,A,C,B,B,B,B,D,D
210056720807,A,B,D,A,C,E,D,B,B,C,A,C,A,B,D,C,E,D,C,E,C,A,E,A,E,D,B,B,C,A,D,B,D,B,C,D,A,E,A,B,D,A,B,C,A
210057857304,D,A,B,D,C,B,A,D,C,C,D,E,D,A,B,A,B,B,D,C,D,D,E,C,E,E,A,D,C,C,B,E,C,C,B,B,B,C,E,E,C,D,C,B,A
210054578718,A,C,D,D,E,A,B,D,C,E,D,D,B,B,A,D,D,A,C,C,B,A,E,C,B,E,E,E,D,B,A,B,A,E,D,E,D,C,D,B,C,D,B,D,A
210056894240,C,A,B,D,C,B,D,D,D,C,D,B,B,B,A,B,D,B,D,C,B,B,D,C,D,D,E,B,E,A,C,D,D,E,B,E,A,B,C,E,D,E,B,C,B
210054569925,A,E,D,A,D,D,B,C,E,B,D,A,B,C,A,D,E,C,C,C,B,D,D,A,B,E,A,E,C,E,B,D,C,B,B,*,E,D,D,D,A,E,B,D,A
210055065513,B,C,E,C,C,B,A,C,B,C,B,C,B,B,.,D,C,B,B,C,C,D,B,B,E,D,C,D,A,E,C,A,C,C,B,B,C,C,C,C,B,D,B,B,C
210057325061,A,B,E,C,B,C,D,C,E,C,A,A,E,E,C,A,C,B,B,C,C,D,A,B,D,C,A,E,A,A,A,A,A,B,C,D,B,B,D,E,B,A,D,C,B
210056678210,E,B,C,C,E,A,C,D,A,C,E,A,B,A,B,E,A,A,A,E,A,E,C,D,E,A,C,E,E,A,A,A,E,C,B,A,E,E,E,B,C,B,B,B,C
210055874340,E,E,B,B,A,C,D,E,D,E,A,E,C,E,D,E,B,E,A,E,A,A,C,B,B,E,E,E,A,C,E,A,A,A,A,B,A,E,E,E,D,C,E,A,D
210056660256,D,C,E,C,D,C,A,A,E,A,A,A,B,E,D,B,E,C,C,C,D,B,E,D,E,D,A,C,D,E,D,E,E,B,A,B,A,E,D,C,D,A,B,B,C
210056783615,C,D,B,B,C,C,A,A,D,E,C,B,C,D,B,D,A,C,C,A,A,C,E,B,E,*,B,E,C,C,A,E,C,A,C,E,A,E,D,C,B,E,B,B,C
210057640493,C,D,E,D,B,A,A,D,B,E,D,A,A,C,D,A,C,A,E,B,C,B,E,E,B,E,C,E,B,E,D,A,A,D,B,A,B,E,E,C,A,E,D,C,D
210057974205,A,D,E,C,C,B,D,D,C,D,A,A,B,A,C,E,B,B,C,B,D,C,D,B,A,D,B,D,E,E,C,D,A,A,C,A,E,A,B,A,B,A,D,C,D
210054511141,D,C,D,D,C,B,B,B,D,B,A,E,C,B,C,A,B,A,C,C,A,D,C,D,B,B,B,D,E,B,E,D,B,E,A,B,B,C,E,D,C,E,B,B,D
210056001481,D,A,E,D,A,B,A,A,A,C,B,A,B,A,B,B,B,A,C,E,A,A,C,B,A,C,B,A,E,A,D,A,A,A,A,A,B,A,C,B,A,E,D,A,A
210056704764,A,C,B,C,D,C,A,D,B,C,A,C,D,C,D,B,E,A,D,D,B,D,D,B,B,D,B,E,D,D,B,D,C,A,D,B,B,C,D,C,A,A,B,C,D
210054689530,B,B,E,C,B,C,C,D,A,D,A,A,C,B,C,C,A,C,C,E,D,D,E,C,B,B,B,E,E,B,A,C,B,C,C,D,A,D,C,B,A,B,A,C,A
210057639547,C,E,D,A,E,C,B,A,B,A,D,B,A,D,D,A,C,E,B,D,E,C,C,E,B,A,E,C,C,A,C,B,B,D,E,A,E,C,B,C,*,A,*,B,B
210055191725,D,E,D,C,A,C,A,E,C,B,A,C,B,B,D,A,B,D,C,C,E,C,B,A,D,C,A,E,B,E,A,B,D,B,C,D,A,E,E,C,A,B,C,C,A
210057195742,C,C,D,D,C,C,A,B,E,C,A,C,A,B,C,D,B,B,C,E,C,D,A,C,E,E,C,B,B,D,B,C,C,E,B,E,B,C,E,A,D,D,A,E,B
210057794248,A,C,E,D,C,C,A,C,E,B,A,C,D,B,D,B,E,C,E,C,A,B,D,B,D,D,A,*,C,B,E,C,D,A,B,B,E,A,C,B,D,A,D,C,E
210056464839,B,C,B,B,C,D,A,C,A,A,D,D,E,B,D,E,C,E,C,E,E,D,D,D,E,C,C,D,D,C,B,E,D,C,B,C,D,E,E,C,B,A,C,C,B
210057379472,C,C,E,B,C,C,C,B,B,D,E,C,D,B,A,B,B,C,C,D,B,D,E,C,E,D,E,E,A,C,B,D,B,D,E,C,A,D,E,B,B,A,A,C,B
210056021461,A,C,C,E,E,A,D,C,D,A,A,A,B,B,C,C,C,A,D,E,B,D,B,C,D,E,A,E,E,E,B,C,B,A,B,D,C,C,C,C,D,A,E,C,D
210054599057,A,A,D,C,B,B,A,B,A,A,A,A,A,B,A,C,B,A,C,A,B,A,D,C,B,D,E,E,B,A,A,A,A,C,B,D,B,C,D,D,B,A,C,D,D
210057524660,C,B,C,A,C,C,A,B,E,E,C,B,C,B,B,B,D,D,B,A,A,C,A,C,B,A,A,B,C,C,A,B,C,D,B,A,D,B,B,C,C,E,D,C,B
210055803523,D,B,C,C,B,C,A,B,D,D,D,A,B,B,C,B,B,D,C,B,B,C,D,A,D,E,E,D,C,E,B,A,A,C,A,E,A,B,B,C,B,E,B,B,A
