,id,question,alternatives,label,has_figure
0,questao_01,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind.
Nesse poema, a expressão “No man is an island”ressalta o(a)","['medo da morte.', 'ideia de conexão.', 'conceito de solidão.', 'risco de devastação.', 'necessidade de empatia.']",B,False
1,questao_02,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore...
Ao retratar a trajetória de refugiados, o poema recorre à imagem de viagem marítima para destacar o(a)","['risco de choques culturais.', 'impacto do ensino de história.', 'importância da luta ambiental.', 'existência de experiências plurais.', 'necessidade de capacitação profissional.']",D,False
2,questao_03,"[[placeholder]]
Esse cartaz de campanha sugere que","['os lixões precisam de ampliação.', 'o desperdício degrada o ambiente.', 'os mercados doam alimentos perecíveis.', 'a desnutrição compromete o raciocínio.', 'as residências carecem de refrigeradores.']",B,True
3,questao_04,"[[placeholder]]
Ao retratar o ambiente de trabalho em um escritório, esse cartum tem por objetivo","['criticar um padrão de vestimenta.', 'destacar a falta de diversidade.', 'indicar um modo de interação.', 'elogiar um modelo de organização.', 'salientar o espírito de cooperação.']",B,True
4,questao_05,"(fragmento)
Spanglish
Tato Laviera
pues estoy creando Spanglish
bi-cultural systems
scientific lexicographical
inter-textual integrations
two expressions
existentially wired
two dominant languages
continentally abrazándose
in colloquial combate
imperio spanglish emerges
sobre territorio bi-lingual
las novelas mexicanas
mixing with radiorocknroll
immigrant/migrant
nasal mispronouncements
hip-hop, street salsa, spanish pop
standard english classroom
with computer technicalitie
spanglish is literally perfect
Nesse poema de Tato Laviera, o eu lírico destaca uma","['convergência linguístico-cultural.', 'característica histórico-cultural.', 'tendência estilístico-literária.', 'discriminação cultural.', 'censura musical.']",A,False
5,questao_06,"## Rui Barbosa
Mestre e companheiro, disse eu que nos íamos despedir. Mas disse mal. A morte não extingue: transforma; não aniquila: renova; não divorcia: aproxima. Um dia supuseste “morta e separada” a consorte dos teus sonhos e das tuas agonias, que te soubera “pôr um mundo inteiro no recanto” do teu ninho; e, todavia, nunca ela te esteve mais presente, no íntimo de ti mesmo e na expressão do teu canto, no fundo do teu ser e na face de tuas ações. Esses catorze versos inimitáveis, em que o enlevo dos teus discípulos resume o valor de toda uma literatura, eram a aliança de ouro do teu segundo noivado, um anel de outras núpcias, para a vida nova do teu renascimento e da tua glorificação, com a sócia sem nódoa dos teus anos de mocidade e madureza, da florescência e frutificação de tua alma. Para os eleitos do mundo das ideias a miséria está na decadência, e não na morte. A nobreza de uma nos preserva das ruínas da outra. Quando eles atravessavam essa passagem do invisível, que os conduz à região da verdade sem mescla, então é que entramos a sentir o começo do seu reino, o reino dos mortos sobre os vivos.
Esse é um trecho do discurso de Rui Barbosa na Academia Brasileira de Letras em homenagem a Machado de Assis por ocasião de sua morte. Uma das características desse discurso de homenagem é a presença de","['metáforas relacionadas à trajetória pessoal e criadora do homenageado.', 'recursos fonológicos empregados para a valorização do ritmo do texto.', 'frases curtas e diretas no relato da vida e da morte do homenageado.', 'contraposição de ideias presentes na obra do homenageado.', 'seleção vocabular representativa do sentimento de nostalgia.']",A,False
6,questao_07,"[[placeholder]]
Essa campanha publicitária do Ministério da Saúde visa","['divulgar um conjunto de benefícios proporcionados pela amamentação.', 'apresentar tratamentos para infecções respiratórias em bebês.', 'defender o direito das mulheres de amamentar em público.', 'orientar sobre os exercícios para uma boa amamentação.', 'informar sobre o aumento de anticorpos nas mães.']",A,True
7,questao_08,"## Carta aberta à população brasileira
Prezados Cidadãos e Cidadãs,
O envelhecimento populacional é um fenômeno mundial. Infelizmente, nosso país ainda não está preparado para atender às demandas dessa população.
Este é o retrato da saúde pública no Brasil, que, apesar dos indiscutíveis avanços, apresenta um cenário de deficiências e falta de integração em todos os níveis de atenção à saúde: primária (atendimento deficiente nas unidades de saúde da atenção básica), secundária (carência de centros de referência com atendimento por especialistas) e terciária (atendimento hospitalar com abordagem ao idoso centrada na doença), ou seja, não há, na prática, uma rede de atenção à saúde do idoso.
Diante desse cenário, a Sociedade Brasileira de Geriatria e Gerontologia (SBGG) vem a público manifestar suas preocupações com o presente e o futuro dos idosos no Brasil. É preciso garantir a saúde como direito universal.
Esperamos que tanto nossos atuais quanto os futuros governantes e legisladores reflitam sobre a necessidade de investir na saúde e na qualidade de vida associada ao envelhecimento.Dignidade à saúde do idoso!
Rio de Janeiro, 15 de setembro de 2014.
O objetivo desse texto é","['sensibilizar o idoso a respeito dos cuidados com a saúde.', 'alertar os governantes sobre os cuidados requeridos pelo idoso.', 'divulgar o trabalho da Sociedade Brasileira de Geriatria e Gerontologia.', 'informar o setor público sobre o retrocesso da legislação destinada à população idosa.', 'chamar a atenção da população sobre a qualidade dos serviços de saúde pública para o idoso.']",E,False
8,questao_09,"A petição on-line criada por um cidadão paulista surtiu efeito: casado há três anos com seu companheiro, ele pedia a alteração da definição de “casamento” no tradicional dicionário Michaelis em português. Na definição anterior, casamento aparecia como “união legítima entre homem e mulher” e “união legal entre homem e mulher, para constituir família”.
O novo verbete não traz em nenhum momento as palavras homem ou mulher — agora a definição de casamento se refere a “pessoas”.
Para o diretor de comunicação do site onde a petição foi publicada, a iniciativa mostra a “eficiência da mobilização”. “Em dois dias, mudou-se uma definição que permanecia a mesma há décadas”, afirma. E conclui: “A plataforma serve para todos os tipos de causas, para as mudanças que importam para as pessoas.”.
A notícia trata da mudança ocorrida em um dicionário da língua portuguesa. Segundo o texto, essa mudança foi impulsionada pela","['inclusão de informações no verbete.', 'relevância social da instituição casamento.', 'utilização pública da petição pelos cidadãos.', 'rapidez na disseminação digital do verbete.', 'divulgação de plataformas para a criação de petição.']",C,False
9,questao_10,"A neozelandesa Laurel Hubbard fez história nos Jogos Olímpicos. Apesar de ter ficado de fora da disputa por medalhas, a levantadora de peso deixou sua marca na edição de Tóquio por ser a primeira mulher abertamente transgênero a participar de uma competição olímpica. No início da carreira, na década de 1990, a neozelandesa participava de disputas na categoria masculina. Em 2001, aos 23 anos, ela se afastou da atividade. “A pressão de tentar me encaixar em um mundo que talvez não tenha sido feito para pessoas como eu se tornou um fardo muito grande para suportar.” Em 2012, Laurel começou sua transição de gênero por meio de terapias hormonais e, em 2013, declarou abertamente ser uma mulher trans. Para o Comitê Olímpico Internacional, a participação de mulheres trans nos Jogos é permitida caso o nível de testosterona, hormônio que aumenta a massa muscular, esteja abaixo de 10 nanomols por litro por pelo menos 12 meses.
No texto, os limites do potencial inclusivo do esporte são dados pela","['dificuldade de conseguir bons resultados esportivos.', 'dependência de características biológicas padronizadas.', 'inexistência de uma categoria para pessoas transgênero.', 'necessidade de afastamento temporário das competições.', 'impossibilidade de uso controlado de substâncias exógenas.']",B,False
